model, dataset, max_depth, train_score0, train_score1, train_score2, test_score0, test_score1, test_score2, train_time0, train_time1, train_time2, hyperparameter0, hyperparameter1, hyperparameter2
FlowOCT, parkinsons, 4, 0.9923076923076923, 0.9846153846153847, 0.9846153846153847, 0.8615384615384616, 0.8923076923076924, 0.8, 600.4733415389928, 600.4195431130065, 600.4629697069904, 15, 10, 15
FlowOCT-Benders, balance_scale, 2, 0.7019230769230769, 0.7074340527577938, 0.6690647482014388, 0.6411483253588517, 0.6298076923076923, 0.7067307692307693, 1.2973741909954697, 0.3325774940021802, 0.40984225599095225, 3, 2, 2
FlowOCT-Benders, balance_scale, 3, 0.7307692307692307, 0.7601918465227818, 0.7434052757793765, 0.6650717703349283, 0.6875, 0.7307692307692307, 5.60584009399463, 152.52626408099604, 159.84037548099877, 3, 7, 7
FlowOCT-Benders, balance_scale, 4, 0.7764423076923077, 0.7697841726618705, 0.762589928057554, 0.6985645933014354, 0.7019230769230769, 0.6923076923076923, 600.0330955329991, 412.99796228899504, 600.033318722999, 10, 5, 10
FlowOCT-Benders, congressional_voting_records, 2, 0.9689655172413794, 0.9551724137931035, 0.9689655172413794, 0.9379310344827586, 0.9724137931034482, 0.9379310344827586, 2.100563863001298, 2.6618160469952272, 5.757348389000981, 3, 3, 3
FlowOCT-Benders, congressional_voting_records, 3, 0.9724137931034482, 0.9620689655172414, 0.9862068965517241, 0.9448275862068966, 0.9655172413793104, 0.903448275862069, 5.054307102996972, 11.194850115993177, 230.04264675099694, 3, 3, 7
FlowOCT-Benders, congressional_voting_records, 4, 0.9827586206896551, 0.9758620689655172, 0.9827586206896551, 0.9379310344827586, 0.9862068965517241, 0.9103448275862069, 391.14336211400223, 537.1609038280003, 361.1483286090079, 5, 5, 5
FlowOCT-Benders, soybean_small, 2, 0.8064516129032258, 1.0, 1.0, 0.75, 1.0, 1.0, 0.29214689999935217, 0.006226676996448077, 0.0061524110060418025, 2, 3, 3
FlowOCT-Benders, soybean_small, 3, 1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 0.007630328997038305, 0.007993405000888743, 0.007986184995388612, 7, 3, 5
FlowOCT-Benders, soybean_small, 4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.01115648599807173, 0.01119171800382901, 0.01146050399984233, 10, 10, 10
FlowOCT-Benders, iris, 2, 0.88, 0.92, 0.9, 0.78, 0.9, 0.92, 0.1932140970020555, 0.12964655399264302, 0.12409152099280618, 2, 3, 3
FlowOCT-Benders, iris, 3, 0.95, 0.92, 0.9, 0.84, 0.9, 0.92, 3.7503929249942303, 1.006179293995956, 0.685238866994041, 5, 3, 3
FlowOCT-Benders, iris, 4, 0.99, 0.98, 0.99, 0.9, 0.92, 0.92, 600.0276441439928, 600.0278392799955, 600.0290614940022, 15, 15, 15
FlowOCT-Benders, wine, 2, 0.9491525423728814, 0.9747899159663865, 0.8739495798319328, 0.9166666666666666, 0.8813559322033898, 0.8983050847457628, 5.078093853007886, 1.1509305469953688, 0.8178478339978028, 3, 3, 2
FlowOCT-Benders, wine, 3, 0.9491525423728814, 0.9747899159663865, 0.9831932773109243, 0.85, 0.8813559322033898, 0.9322033898305084, 14.859384124996723, 5.3715527660096996, 315.4129975800024, 3, 3, 7
FlowOCT-Benders, wine, 4, 1.0, 1.0, 0.9915966386554622, 0.9, 0.847457627118644, 0.9830508474576272, 18.233151090986212, 0.4826779900031397, 600.0209987370035, 10, 5, 10
FlowOCT-Benders, breast_cancer, 2, 0.9551451187335093, 0.9498680738786279, 0.9447368421052632, 0.9263157894736842, 0.9263157894736842, 0.9206349206349206, 28.60611187199538, 25.968380575999618, 31.475467734999256, 3, 3, 3
FlowOCT-Benders, breast_cancer, 3, 0.9630606860158312, 0.9683377308707124, 0.9526315789473684, 0.9105263157894737, 0.9157894736842105, 0.9417989417989417, 600.0369763250055, 600.0372073100007, 600.0381903289963, 5, 7, 5
FlowOCT-Benders, breast_cancer, 4, 0.9815303430079155, 0.9709762532981531, 0.9736842105263158, 0.9157894736842105, 0.9421052631578948, 0.9312169312169312, 600.0643371049955, 600.0278223260102, 600.0438175229938, 10, 5, 15
FlowOCT-Benders, banknote_authentication, 2, 0.9004376367614879, 0.8950819672131147, 0.9005464480874317, 0.8908296943231441, 0.8424507658643327, 0.888402625820569, 4.483300719992258, 2.1304391320009017, 4.053146867998294, 3, 2, 3
FlowOCT-Benders, banknote_authentication, 3, 0.9452954048140044, 0.946448087431694, 0.9475409836065574, 0.9388646288209607, 0.912472647702407, 0.9431072210065645, 600.0391760540078, 316.95839400000114, 600.0387228199979, 7, 7, 7
FlowOCT-Benders, banknote_authentication, 4, 0.9748358862144421, 0.9693989071038251, 0.9726775956284153, 0.9694323144104804, 0.9190371991247265, 0.9693654266958425, 600.0401916189876, 600.0370605920034, 600.0558479659958, 15, 15, 15
FlowOCT-Benders, blood_transfusion, 2, 0.7670682730923695, 0.7655310621242485, 0.781563126252505, 0.764, 0.7269076305220884, 0.751004016064257, 1.0880273699876852, 1.1169469509914052, 0.7914085689990316, 2, 2, 2
FlowOCT-Benders, blood_transfusion, 3, 0.7811244979919679, 0.7955911823647295, 0.7875751503006012, 0.788, 0.7590361445783133, 0.7469879518072289, 39.156768437009305, 600.0316360029974, 34.752680414996576, 3, 5, 3
FlowOCT-Benders, blood_transfusion, 4, 0.7891566265060241, 0.7955911823647295, 0.8136272545090181, 0.792, 0.7590361445783133, 0.7389558232931727, 600.0362156670017, 600.0375058900099, 600.0413155969873, 5, 5, 10
FlowOCT-Benders, ionosphere, 2, 0.8632478632478633, 0.8717948717948718, 0.8803418803418803, 0.8547008547008547, 0.8290598290598291, 0.8376068376068376, 44.38357890001498, 4.307747568003833, 41.45335453702137, 3, 2, 3
FlowOCT-Benders, ionosphere, 3, 0.9145299145299145, 0.8846153846153846, 0.9230769230769231, 0.8803418803418803, 0.811965811965812, 0.8803418803418803, 600.0358220710186, 88.405225858005, 600.0455380999774, 7, 3, 5
FlowOCT-Benders, ionosphere, 4, 0.9316239316239316, 0.905982905982906, 0.9529914529914529, 0.8205128205128205, 0.7948717948717948, 0.8547008547008547, 600.0475210019795, 600.0518224609841, 600.0401939580042, 10, 5, 15
FlowOCT-Benders, parkinsons, 2, 0.9076923076923077, 0.9076923076923077, 0.8769230769230769, 0.9076923076923077, 0.8769230769230769, 0.8307692307692308, 11.827919767005369, 1.5214976879942697, 5.964504475006834, 3, 2, 2
