model, dataset, max_depth, train_time, ub, lb, mip_gap, time_improvement, gap_improvement
OCT, wine, 3, 600.2792302110029, 178.0, 177.0, 0.005649717514124294, #N/A, #N/A
OCT, wine, 4, 600.6614900919958, 178.0, 169.0, 0.05325443786982249, #N/A, #N/A
OCT, breast_cancer, 2, 600.3850324509986, 569.0, 545.0, 0.044036697247706424, #N/A, #N/A
OCT, breast_cancer, 3, 601.0004850080004, 569.0, 551.0, 0.032667876588021776, #N/A, #N/A
OCT, breast_cancer, 4, 602.4083448489982, 569.0, 553.0, 0.028933092224231464, #N/A, #N/A
OCT, banknote_authentication, 2, 600.6360291009987, 1372.0, 1269.0, 0.08116627265563436, #N/A, #N/A
OCT, banknote_authentication, 3, 601.5316677730007, 1372.0, 1311.0, 0.04652936689549962, #N/A, #N/A
OCT, banknote_authentication, 4, 603.8137228070045, 1372.0, 1300.0, 0.055384615384615386, #N/A, #N/A
OCT, blood_transfusion, 2, 600.3431753080004, 608.0, 584.0, 0.0410958904109589, #N/A, #N/A
OCT, blood_transfusion, 3, 600.8498999270014, 748.0, 586.0, 0.2764505119453925, #N/A, #N/A
OCT, blood_transfusion, 4, 602.1169798999981, 748.0, 589.0, 0.2699490662139219, #N/A, #N/A
OCT, ionosphere, 2, 600.1946285129961, 351.0, 322.0, 0.09006211180124224, #N/A, #N/A
OCT, ionosphere, 3, 600.5377985699961, 351.0, 321.0, 0.09345794392523364, #N/A, #N/A
OCT, ionosphere, 4, 601.2950115529966, 351.0, 333.0, 0.05405405405405406, #N/A, #N/A
OCT, parkinsons, 2, 600.1316553719953, 195.0, 178.0, 0.09550561797752809, #N/A, #N/A
OCT, parkinsons, 3, 600.3220285749994, 195.0, 190.0, 0.02631578947368421, #N/A, #N/A
OCT, parkinsons, 4, 600.781805577004, 195.0, 194.0, 0.005154639175257732, #N/A, #N/A
OCT-H, balance_scale, 2, 5.190199536998989, 625.0, 625.0, 0.0, #N/A, #N/A
OCT-H, balance_scale, 3, 600.7196761470041, 625.0, 597.0, 0.04690117252931323, #N/A, #N/A
OCT-H, balance_scale, 4, 601.8792464740036, 625.0, 592.0, 0.05574324324324324, #N/A, #N/A
OCT-H, congressional_voting_records, 2, 1.6611441669956548, 435.0, 435.0, 0.0, #N/A, #N/A
OCT-H, congressional_voting_records, 3, 28.57146039899817, 435.0, 435.0, 0.0, #N/A, #N/A
OCT-H, congressional_voting_records, 4, 30.865876356998342, 435.0, 435.0, 0.0, #N/A, #N/A
OCT-H, soybean_small, 2, 0.6023225730023114, 47.0, 47.0, 0.0, #N/A, #N/A
OCT-H, soybean_small, 3, 1.0124066479984322, 47.0, 47.0, 0.0, #N/A, #N/A
OCT-H, soybean_small, 4, 1.0101037089989404, 47.0, 47.0, 0.0, #N/A, #N/A
OCT-H, iris, 2, 6.819995637997636, 149.0, 149.0, 0.0, #N/A, #N/A
OCT-H, iris, 3, 20.070394071997725, 150.0, 150.0, 0.0, #N/A, #N/A
OCT-H, iris, 4, 16.510727764005424, 150.0, 150.0, 0.0, #N/A, #N/A
OCT-H, wine, 2, 1.7365507150025223, 178.0, 178.0, 0.0, #N/A, #N/A
OCT-H, wine, 3, 0.5245917650026968, 178.0, 178.0, 0.0, #N/A, #N/A
OCT-H, wine, 4, 25.691366560997267, 178.0, 178.0, 0.0, #N/A, #N/A
OCT-H, breast_cancer, 2, 77.04387720900559, 569.0, 569.0, 0.0, #N/A, #N/A
OCT-H, breast_cancer, 3, 199.1912162640001, 569.0, 569.0, 0.0, #N/A, #N/A
OCT-H, breast_cancer, 4, 602.2629349799972, 569.0, 372.0, 0.5295698924731183, #N/A, #N/A
OCT-H, banknote_authentication, 2, 51.92319585800578, 1372.0, 1372.0, 0.0, #N/A, #N/A
OCT-H, banknote_authentication, 3, 601.4657648520006, 1372.0, 977.0, 0.40429887410440124, #N/A, #N/A
OCT-H, banknote_authentication, 4, 603.3631995510004, 1372.0, 1362.0, 0.007342143906020558, #N/A, #N/A
OCT-H, blood_transfusion, 2, 600.3216738400006, 748.0, 583.0, 0.2830188679245283, #N/A, #N/A
OCT-H, blood_transfusion, 3, 600.7693654600007, 748.0, 584.0, 0.2808219178082192, #N/A, #N/A
OCT-H, blood_transfusion, 4, 601.859958275003, 748.0, 585.0, 0.27863247863247864, #N/A, #N/A
OCT-H, ionosphere, 2, 100.17761687900202, 351.0, 351.0, 0.0, #N/A, #N/A
OCT-H, ionosphere, 3, 323.69316729500133, 351.0, 351.0, 0.0, #N/A, #N/A
OCT-H, ionosphere, 4, 222.92358664499625, 351.0, 351.0, 0.0, #N/A, #N/A
OCT-H, parkinsons, 2, 38.75248952199763, 195.0, 195.0, 0.0, #N/A, #N/A
OCT-H, parkinsons, 3, 190.6916469340067, 195.0, 195.0, 0.0, #N/A, #N/A
OCT-H, parkinsons, 4, 306.30343864099996, 195.0, 195.0, 0.0, #N/A, #N/A
SOCT-baseline, balance_scale, 2, 5.067244845999994, 625.0, 625.0, 0.0, 0, 0
SOCT-benders-last-1, balance_scale, 2, 131.33908104700004, 625.0, 625.0, 0.0, -126.27183620100004, 0.0
SOCT-benders-last-10, balance_scale, 2, 57.70989837999991, 625.0, 625.0, 0.0, -52.64265353399992, 0.0
SOCT-init-1, balance_scale, 2, 5.115191161999974, 625.0, 625.0, 0.0, -0.04794631599997956, 0.0
SOCT-init-5, balance_scale, 2, 5.05087800199999, 625.0, 625.0, 0.0, 0.016366844000003766, 0.0
SOCT-baseline, balance_scale, 3, 81.94901294900001, 625.0, 625.0, 0.0, 0, 0
SOCT-benders-last-1, balance_scale, 3, 13.691595117000134, 625.0, 625.0, 0.0, 68.25741783199987, 0.0
SOCT-benders-last-10, balance_scale, 3, 252.10892089100003, 625.0, 625.0, 0.0, -170.15990794200002, 0.0
SOCT-init-1, balance_scale, 3, 81.97742940500007, 625.0, 625.0, 0.0, -0.028416456000059043, 0.0
SOCT-init-5, balance_scale, 3, 81.93198006700004, 625.0, 625.0, 0.0, 0.017032881999966776, 0.0
SOCT-baseline, balance_scale, 4, 602.0365773570002, 624.9999999999967, 588.0, 0.0629251700680216, 0, 0
SOCT-benders-last-1, balance_scale, 4, 330.8863873109999, 625.0, 625.0, 0.0, 271.15019004600026, 0.0629251700680216
SOCT-benders-last-10, balance_scale, 4, 601.5269211350001, 624.9999999999993, 606.0, 0.03135313531353023, 0.5096562220001033, 0.03157203475449138
SOCT-init-1, balance_scale, 4, 602.605274263, 624.9999999999997, 595.0, 0.050420168067226316, -0.5686969059997864, 0.012505002000795289
SOCT-init-5, balance_scale, 4, 602.903034506, 624.9999999999994, 582.0, 0.07388316151202652, -0.8664571489998707, -0.010957991444004916
SOCT-baseline, congressional_voting_records, 2, 0.8583244640003613, 435.0, 435.0, 0.0, 0, 0
SOCT-benders-last-1, congressional_voting_records, 2, 0.528655792999416, 435.0, 435.0, 0.0, 0.3296686710009453, 0.0
SOCT-benders-last-10, congressional_voting_records, 2, 0.4729863769998701, 435.0, 435.0, 0.0, 0.3853380870004912, 0.0
SOCT-init-1, congressional_voting_records, 2, 1.9475331889998415, 435.0, 435.0, 0.0, -1.0892087249994802, 0.0
SOCT-init-5, congressional_voting_records, 2, 1.5249039469999843, 435.0, 435.0, 0.0, -0.666579482999623, 0.0
SOCT-baseline, congressional_voting_records, 3, 6.517950823000319, 435.0, 435.0, 0.0, 0, 0
SOCT-benders-last-1, congressional_voting_records, 3, 11.021874138000385, 435.0, 435.0, 0.0, -4.5039233150000655, 0.0
SOCT-benders-last-10, congressional_voting_records, 3, 9.307932708999942, 435.0, 435.0, 0.0, -2.789981885999623, 0.0
SOCT-init-1, congressional_voting_records, 3, 4.1888741039992965, 435.0, 435.0, 0.0, 2.329076719001023, 0.0
SOCT-init-5, congressional_voting_records, 3, 13.516399832999923, 435.0, 435.0, 0.0, -6.998449009999604, 0.0
SOCT-baseline, congressional_voting_records, 4, 11.695018291000451, 435.0, 435.0, 0.0, 0, 0
SOCT-benders-last-1, congressional_voting_records, 4, 2.2276309640001273, 435.0, 435.0, 0.0, 9.467387327000324, 0.0
SOCT-benders-last-10, congressional_voting_records, 4, 2.230857880000258, 435.0, 435.0, 0.0, 9.464160411000194, 0.0
SOCT-init-1, congressional_voting_records, 4, 25.425902474000395, 435.0, 435.0, 0.0, -13.730884182999944, 0.0
SOCT-init-5, congressional_voting_records, 4, 7.0501319469995, 435.0, 435.0, 0.0, 4.644886344000952, 0.0
SOCT-baseline, soybean_small, 2, 0.10300590099996043, 47.0, 47.0, 0.0, 0, 0
SOCT-benders-last-1, soybean_small, 2, 0.07034103800015146, 47.0, 47.0, 0.0, 0.032664862999808975, 0.0
SOCT-benders-last-10, soybean_small, 2, 0.06986783599950286, 47.0, 47.0, 0.0, 0.03313806500045757, 0.0
SOCT-init-1, soybean_small, 2, 0.10591385699990497, 47.0, 47.0, 0.0, -0.0029079559999445337, 0.0
SOCT-init-5, soybean_small, 2, 0.10610915699999168, 47.0, 47.0, 0.0, -0.0031032560000312515, 0.0
SOCT-baseline, soybean_small, 3, 0.22752678699998796, 47.0, 47.0, 0.0, 0, 0
SOCT-benders-last-1, soybean_small, 3, 0.12977033500010293, 47.0, 47.0, 0.0, 0.09775645199988503, 0.0
SOCT-benders-last-10, soybean_small, 3, 0.13046148600005836, 47.0, 47.0, 0.0, 0.0970653009999296, 0.0
SOCT-init-1, soybean_small, 3, 0.23240719600016746, 47.0, 47.0, 0.0, -0.0048804090001794975, 0.0
SOCT-init-5, soybean_small, 3, 0.23387671299951762, 47.0, 47.0, 0.0, -0.00634992599952966, 0.0
SOCT-baseline, soybean_small, 4, 0.41266000399991754, 47.0, 47.0, 0.0, 0, 0
SOCT-benders-last-1, soybean_small, 4, 0.24483628300004057, 47.0, 47.0, 0.0, 0.16782372099987697, 0.0
SOCT-benders-last-10, soybean_small, 4, 0.2681466770000043, 47.0, 47.0, 0.0, 0.14451332699991326, 0.0
SOCT-init-1, soybean_small, 4, 0.41732652700011386, 47.0, 47.0, 0.0, -0.004666523000196321, 0.0
SOCT-init-5, soybean_small, 4, 0.419367501999659, 47.0, 47.0, 0.0, -0.006707497999741463, 0.0
SOCT-baseline, iris, 2, 1.9618090439998923, 149.99850788644875, 149.0, 0.0067013952110654305, 0, 0
SOCT-benders-last-1, iris, 2, 31.29424446899975, 149.98513634218122, 149.0, 0.006611653303229671, -29.332435424999858, 8.974190783575964e-05
SOCT-benders-last-10, iris, 2, 18.563520265999614, 149.99535670304047, 149.0, 0.00668024632913068, -16.60171122199972, 2.1148881934750403e-05
SOCT-init-1, iris, 2, 6.628264568000304, 149.99852261719371, 149.0, 0.006701494075125599, -4.666455524000412, -9.886406016849231e-08
SOCT-init-5, iris, 2, 2.276227982999444, 149.99849642456562, 149.0, 0.006701318285675274, -0.31441893899955176, 7.692539015675959e-08
SOCT-baseline, iris, 3, 3.7438871370004563, 150.0, 150.0, 0.0, 0, 0
SOCT-benders-last-1, iris, 3, 2.578331511000215, 150.0, 150.0, 0.0, 1.1655556260002413, 0.0
SOCT-benders-last-10, iris, 3, 4.777201389999391, 150.0, 150.0, 0.0, -1.0333142529989345, 0.0
SOCT-init-1, iris, 3, 4.098501139999826, 150.0, 150.0, 0.0, -0.3546140029993694, 0.0
SOCT-init-5, iris, 3, 11.067260374000398, 150.0, 150.0, 0.0, -7.323373236999942, 0.0
SOCT-baseline, iris, 4, 3.300043604000166, 150.0, 150.0, 0.0, 0, 0
SOCT-benders-last-1, iris, 4, 17.50629048100018, 150.0, 150.0, 0.0, -14.206246877000012, 0.0
SOCT-benders-last-10, iris, 4, 10.918043460000263, 150.0, 150.0, 0.0, -7.617999856000097, 0.0
SOCT-init-1, iris, 4, 10.814308281999729, 150.0, 150.0, 0.0, -7.514264677999563, 0.0
SOCT-init-5, iris, 4, 11.901296017999812, 150.0, 150.0, 0.0, -8.601252413999646, 0.0
SOCT-baseline, wine, 2, 0.26401133900071727, 178.0, 178.0, 0.0, 0, 0
SOCT-benders-last-1, wine, 2, 0.14893055399988953, 178.0, 178.0, 0.0, 0.11508078500082775, 0.0
SOCT-benders-last-10, wine, 2, 0.1488930569994409, 178.0, 178.0, 0.0, 0.11511828200127638, 0.0
SOCT-init-1, wine, 2, 0.26996502700058045, 178.0, 178.0, 0.0, -0.0059536879998631775, 0.0
SOCT-init-5, wine, 2, 0.27047434100040846, 178.0, 178.0, 0.0, -0.006463001999691187, 0.0
SOCT-baseline, wine, 3, 0.767951370999981, 178.0, 178.0, 0.0, 0, 0
SOCT-benders-last-1, wine, 3, 0.5095682489991304, 178.0, 178.0, 0.0, 0.25838312200085056, 0.0
SOCT-benders-last-10, wine, 3, 0.5176931610003521, 178.0, 178.0, 0.0, 0.2502582099996289, 0.0
SOCT-init-1, wine, 3, 0.787880388999838, 178.0, 178.0, 0.0, -0.019929017999857024, 0.0
SOCT-init-5, wine, 3, 0.7583846879997509, 178.0, 178.0, 0.0, 0.009566683000230114, 0.0
SOCT-baseline, wine, 4, 1.2553358330005722, 178.0, 178.0, 0.0, 0, 0
SOCT-benders-last-1, wine, 4, 0.9697086469996066, 178.0, 178.0, 0.0, 0.2856271860009656, 0.0
SOCT-benders-last-10, wine, 4, 0.9642061640006432, 178.0, 178.0, 0.0, 0.291129668999929, 0.0
SOCT-init-1, wine, 4, 1.280991388000075, 178.0, 178.0, 0.0, -0.025655554999502783, 0.0
SOCT-init-5, wine, 4, 1.32049111500055, 178.0, 178.0, 0.0, -0.06515528199997789, 0.0
SOCT-baseline, breast_cancer, 2, 49.613492140000744, 569.0, 569.0, 0.0, 0, 0
SOCT-benders-last-1, breast_cancer, 2, 0.7031112829999984, 569.0, 569.0, 0.0, 48.910380857000746, 0.0
